,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8044692737430168,0.7931034482758621,0.6666666666666666,0.7244094488188977
Decision Tree,0.8324022346368715,0.8,0.7536231884057971,0.7761194029850746
Random Forest,0.8268156424581006,0.8064516129032258,0.7246376811594203,0.7633587786259542
KNN,0.6480446927374302,0.5483870967741935,0.4927536231884058,0.5190839694656488
SVM,0.6201117318435754,0.5161290322580645,0.2318840579710145,0.32
